traffic_seed,method,policy,epoch,elapsed_s,elapsed_min,replan_epoch,traffic_state,traffic_change,center_bins,affected_edges,peak_tt_multiplier,speed_multiplier,recovery_progress,network_speed_kmh,sim_hour,remaining_bins_before,served_bins_epoch,remaining_bins_after,epoch_energy_kwh,epoch_energy_per_served_bin_kwh,cumulative_energy_kwh,epoch_operating_s,cumulative_operating_s,oracle_runtime_s,solver_runtime_s,planning_runtime_s,cumulative_planning_runtime_s,compute_wait_aux_energy_kwh,cumulative_compute_wait_aux_energy_kwh,latency_adjusted_energy_kwh,latency_adjusted_time_s,planned_remaining_energy_kwh,planned_remaining_makespan_s,incumbent_plan_energy_kwh,candidate_plan_energy_kwh,candidate_energy_improvement_kwh,replan_attempted,replan_accepted,acceptance_reason,candidate_next_choice_changes,candidate_reassigned_bins,next_choice_changes,reassigned_bins,traversed_edges,disrupted_edges_traversed,disrupted_edge_share,min_battery_kwh,max_payload_kg,returned_to_depot,converged,rounds,replanned,active_planning_vehicles,vehicles_still_requiring_first_service
2026,proposed,adaptive,30,1800.0,30.0,6,recovering,recovering,2 14 53 69,1687,2.857142857142857,0.35,0.0,31.20269165852424,18.5,20,4,16,3.86040391831004,0.96510097957751,101.50494658194286,60.0,1860.0,6.73000467941165e-05,21.378594199894,21.37866149994079,1612.5886319000274,0.0,0.0,101.50494658194286,1860.0,105.3060428546014,1510.8958783987955,105.3060428546014,106.90855914117304,-1.6025162865716425,True,False,incumbent_not_worse,2,4,0,0,35,3,0.0857142857142857,156.94888075400053,1669.0,False,True,19.0,True,5,0
2026,proposed,adaptive,31,1860.0,31.0,6,recovering,recovering,2 14 53 69,1687,2.6595744680851063,0.376,0.04,31.54792290427472,18.516666666666666,16,0,16,1.794446737145937,1.794446737145937,103.2993933190888,60.0,1920.0,0.0,0.0,0.0,1612.5886319000274,0.0,0.0,103.2993933190888,1920.0,93.28433261097555,1419.1603745580196,,,,False,False,not_attempted,0,0,0,0,13,1,0.0769230769230769,156.02000373845638,1669.0,False,,,False,5,0
2026,proposed,adaptive,32,1920.0,32.0,6,recovering,recovering,2 14 53 69,1687,2.4875621890547266,0.4019999999999999,0.08,31.854778906250925,18.53333333333333,16,2,14,1.076562873664428,0.538281436832214,104.37595619275322,60.0,1980.0,0.0,0.0,0.0,1612.5886319000274,0.0,0.0,104.37595619275322,1980.0,84.83493095299063,1232.622821018511,,,,False,False,not_attempted,0,0,0,0,5,1,0.2,155.92667040512305,1669.0,False,,,False,5,0
2026,proposed,adaptive,33,1980.0,33.0,6,recovering,recovering,2 14 53 69,1687,2.336448598130841,0.428,0.12,32.1293213401735,18.55,14,3,11,2.093543241946588,0.6978477473155292,106.4694994346998,60.0,2040.0,0.0,0.0,0.0,1612.5886319000274,0.0,0.0,106.4694994346998,2040.0,77.97093407926155,1194.19246273234,,,,False,False,not_attempted,0,0,0,0,29,1,0.0344827586206896,155.23976721826267,1820.0,False,,,False,4,0
2026,proposed,adaptive,34,2040.0,34.0,6,recovering,recovering,2 14 53 69,1687,2.202643171806168,0.4539999999999999,0.16,32.37639908536983,18.566666666666663,11,2,9,2.5217001856906007,1.2608500928453004,108.99119962039042,60.0,2100.0,0.0,0.0,0.0,1612.5886319000274,0.0,0.0,108.99119962039042,2100.0,70.98183999453298,1124.0374253782218,,,,False,False,not_attempted,0,0,0,0,30,2,0.0666666666666666,153.75076722009146,1820.0,False,,,False,4,0
2026,proposed,adaptive,35,2100.0,35.0,7,recovering,recovering,2 14 53 69,1687,2.083333333333333,0.48,0.2,32.59993709044963,18.58333333333333,9,0,9,0.4417184661412459,0.4417184661412459,109.43291808653166,60.0,2160.0,9.759291699971072,10.057369100046344,19.816660800017416,1632.4052927000448,0.0,0.0,109.43291808653166,2160.0,63.84848013705268,950.0917567203742,63.848947660390905,63.84848013705268,0.00046752333823,True,True,lower_residual_energy,2,2,2,2,10,0,0.0,153.65743388675813,1820.0,False,True,28.0,True,4,0
2026,proposed,adaptive,36,2160.0,36.0,7,recovering,recovering,2 14 53 69,1687,1.976284584980237,0.506,0.24,32.803146430184874,18.6,9,2,7,1.7316448673464448,0.8658224336732224,111.1645629538781,60.0,2220.0,0.0,0.0,0.0,1632.4052927000448,0.0,0.0,111.1645629538781,2220.0,59.48251571930152,925.9368443197226,,,,False,False,not_attempted,0,0,0,0,10,3,0.3,152.37646719760974,1866.0,False,,,False,3,0
2026,proposed,adaptive,37,2220.0,37.0,7,recovering,recovering,2 14 53 69,1687,1.8796992481203008,0.532,0.28,32.98867954681469,18.616666666666667,7,1,6,2.436949181367882,2.436949181367882,113.60151213524598,60.0,2280.0,0.0,0.0,0.0,1632.4052927000448,0.0,0.0,113.60151213524598,2280.0,53.79097023745325,867.1091101462144,,,,False,False,not_attempted,0,0,0,0,11,4,0.3636363636363636,150.1826835790171,1966.0,False,,,False,2,0
2026,proposed,adaptive,38,2280.0,38.0,7,recovering,recovering,2 14 53 69,1687,1.7921146953405016,0.558,0.32,33.15874666871985,18.633333333333333,6,1,5,5.0886431750964345,5.0886431750964345,118.69015531034242,60.0,2340.0,0.0,0.0,0.0,1632.4052927000448,0.0,0.0,118.69015531034242,2340.0,48.34580434500176,782.4942754964698,,,,False,False,not_attempted,0,0,0,0,7,7,1.0,145.23093439263317,1966.0,False,,,False,1,0
2026,proposed,adaptive,39,2340.0,39.0,7,recovering,recovering,2 14 53 69,1687,1.712328767123288,0.584,0.36,33.31520428011182,18.65,5,1,4,0.1373288443658132,0.1373288443658132,118.82748415470824,60.0,2400.0,0.0,0.0,0.0,1632.4052927000448,0.0,0.0,118.82748415470824,2400.0,41.09988884024509,616.2617334398736,,,,False,False,not_attempted,0,0,0,0,0,0,0.0,145.1376010592998,1973.0,False,,,False,1,0
2026,proposed,adaptive,40,2400.0,40.0,8,recovering,recovering,2 14 53 69,1687,1.639344262295082,0.61,0.4,33.459623168665104,18.666666666666668,4,1,3,0.773906411306729,0.773906411306729,119.60139056601496,60.0,2460.0,9.854871500050647,0.0695600999752059,9.924431600025857,1642.329724300071,0.0,0.0,119.60139056601496,2460.0,38.80870852531765,605.339102178502,38.80870852531764,38.80870852531765,-7.105427357601002e-15,True,False,incumbent_not_worse,0,0,0,0,4,4,1.0,144.3636946479931,1973.0,False,True,23.0,True,1,0
2026,proposed,adaptive,41,2460.0,41.0,8,recovering,recovering,2 14 53 69,1687,1.572327044025157,0.636,0.44,33.59334134719233,18.683333333333334,3,0,3,2.044235020695604,2.044235020695604,121.64562558671057,60.0,2520.0,0.0,0.0,0.0,1642.329724300071,0.0,0.0,121.64562558671057,2520.0,35.550207950568286,574.944239896395,,,,False,False,not_attempted,0,0,0,0,3,3,1.0,142.3194596272975,1973.0,False,,,False,1,0
2026,proposed,adaptive,42,2520.0,42.0,8,recovering,recovering,2 14 53 69,1687,1.5105740181268883,0.6619999999999999,0.48,33.71750563187888,18.7,3,0,3,0.0933333333333333,0.0933333333333333,121.7389589200439,60.0,2580.0,0.0,0.0,0.0,1642.329724300071,0.0,0.0,121.7389589200439,2580.0,32.066674409777995,408.8064903748751,,,,False,False,not_attempted,0,0,0,0,0,0,0.0,142.22612629396417,1973.0,False,,,False,1,0
2026,proposed,adaptive,43,2580.0,43.0,8,recovering,recovering,2 14 53 69,1687,1.4534883720930234,0.688,0.52,33.833104615867185,18.716666666666665,3,1,2,0.4656947212352944,0.4656947212352944,122.2046536412792,60.0,2640.0,0.0,0.0,0.0,1642.329724300071,0.0,0.0,122.2046536412792,2640.0,30.41190760260439,402.4271753316386,,,,False,False,not_attempted,0,0,0,0,2,2,1.0,141.76043157272886,1973.0,False,,,False,1,0
2026,proposed,adaptive,44,2640.0,44.0,8,recovering,recovering,2 14 53 69,1687,1.400560224089636,0.714,0.56,33.94099504645174,18.73333333333333,2,0,2,1.2345910947538572,1.2345910947538572,123.43924473603305,60.0,2700.0,0.0,0.0,0.0,1642.329724300071,0.0,0.0,123.43924473603305,2700.0,28.2039167144646,366.6586367445377,,,,False,False,not_attempted,0,0,0,0,2,2,1.0,140.52584047797498,1973.0,False,,,False,1,0
2026,proposed,adaptive,45,2700.0,45.0,9,recovering,recovering,2 14 53 69,1687,1.351351351351351,0.74,0.6,34.04192309575753,18.75,2,0,2,0.0933333333333333,0.0933333333333333,123.53257806936638,60.0,2760.0,9.761309499968776,0.0348023999249562,9.79611189989373,1652.1258361999644,0.0,0.0,123.53257806936638,2760.0,25.78730954288266,228.0394700299753,25.78730954288266,25.78730954288266,0.0,True,False,incumbent_not_worse,0,0,0,0,0,0,0.0,140.43250714464165,1973.0,False,True,19.0,True,1,0
2026,proposed,adaptive,46,2760.0,46.0,9,recovering,recovering,2 14 53 69,1687,1.3054830287206267,0.766,0.64,34.13654164221812,18.766666666666666,2,1,1,1.0531340904155375,1.0531340904155375,124.58571215978192,60.0,2820.0,0.0,0.0,0.0,1652.1258361999644,0.0,0.0,124.58571215978192,2820.0,24.537626447536105,224.37233397151653,,,,False,False,not_attempted,0,0,0,0,2,2,1.0,139.3793730542261,1973.0,False,,,False,1,0
2026,proposed,adaptive,47,2820.0,47.0,9,recovering,recovering,2 14 53 69,1687,1.2626262626262623,0.792,0.68,34.2254244092423,18.78333333333333,1,0,1,1.431487684646659,1.431487684646659,126.01719984442856,60.0,2880.0,0.0,0.0,0.0,1652.1258361999644,0.0,0.0,126.01719984442856,2880.0,21.979680952678432,193.77144383273796,,,,False,False,not_attempted,0,0,0,0,2,2,1.0,137.94788536957944,1973.0,False,,,False,1,0
2026,proposed,adaptive,48,2880.0,48.0,9,recovering,recovering,2 14 53 69,1687,1.2224938875305624,0.818,0.72,34.309077608263664,18.8,1,0,1,0.0933333333333333,0.0933333333333333,126.11053317776192,60.0,2940.0,0.0,0.0,0.0,1652.1258361999644,0.0,0.0,126.11053317776192,2940.0,19.851498430896903,88.20804305174751,,,,False,False,not_attempted,0,0,0,0,0,0,0.0,137.8545520362461,1973.0,False,,,False,0,0
2026,proposed,adaptive,49,2940.0,49.0,9,recovering,recovering,2 14 53 69,1687,1.1848341232227486,0.8440000000000001,0.76,34.38794958540497,18.816666666666663,1,1,0,17.819263706931775,17.819263706931775,143.92979688469367,90.62423913544204,3030.624239135442,0.0,0.0,0.0,1652.1258361999644,0.0,0.0,143.92979688469367,3030.624239135442,18.906242825079147,87.13164490123037,,,,False,False,not_attempted,0,0,0,0,154,83,0.538961038961039,134.3437330729469,1973.0,True,,,False,0,0
2026,proposed,static_live,0,0.0,0.0,0,normal,initial,2 14 53 69,0,1.0,1.0,0.0,34.78037077224997,18.0,84,0,84,18.94781220058084,18.94781220058084,18.94781220058084,60.0,60.0,10.709383900044486,1128.8861950000282,1139.5955789000727,1139.5955789000727,0.0,0.0,18.94781220058084,60.0,124.9872316003862,2771.5048752969888,,,,False,False,initial_plan,0,0,0,0,123,0,0.0,177.2717760608753,0.0,False,,,True,10,10
