method,policy,epoch,elapsed_min,n,cumulative_energy_kwh_mean,cumulative_energy_kwh_std,cumulative_energy_kwh_min,cumulative_energy_kwh_max,cumulative_operating_s_mean,cumulative_operating_s_std,cumulative_operating_s_min,cumulative_operating_s_max,cumulative_planning_runtime_s_mean,cumulative_planning_runtime_s_std,cumulative_planning_runtime_s_min,cumulative_planning_runtime_s_max,latency_adjusted_energy_kwh_mean,latency_adjusted_energy_kwh_std,latency_adjusted_energy_kwh_min,latency_adjusted_energy_kwh_max
aco,adaptive,62,62.0,10,157.25720020158707,8.849632596638411,142.5067548844067,173.94145021138863,3559.5187359100773,357.1081703756465,2994.023190715688,4140.721565420517,686.4382898098789,35.74399740720388,634.9117691998836,740.5064095996786,157.25720020158707,8.849632596638411,142.5067548844067,173.94145021138863
aco,adaptive,63,63.0,10,157.2682222738594,8.829265089082496,142.61697560712977,173.94145021138863,3565.5187359100773,361.69876352692637,2994.023190715688,4140.721565420517,686.4382898098789,35.74399740720388,634.9117691998836,740.5064095996786,157.2682222738594,8.829265089082496,142.61697560712977,173.94145021138863
aco,adaptive,64,64.0,10,159.19856765169345,7.236673326131849,148.82397424205928,173.94145021138863,3598.378163079606,402.0774770308273,2994.023190715688,4168.59427169528,686.4382898098789,35.74399740720388,634.9117691998836,740.5064095996786,159.19856765169345,7.236673326131849,148.82397424205928,173.94145021138863
aco,static_frozen,0,0.0,10,18.680839634308786,0.0,18.680839634308786,18.680839634308786,60.0,0.0,60.0,60.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,18.680839634308786,0.0,18.680839634308786,18.680839634308786
aco,static_frozen,1,1.0,10,23.44890122770917,0.0,23.44890122770917,23.44890122770917,120.0,0.0,120.0,120.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,23.44890122770917,0.0,23.44890122770917,23.44890122770917
aco,static_frozen,2,2.0,10,28.755198680519733,0.0,28.75519868051973,28.75519868051973,180.0,0.0,180.0,180.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,28.755198680519733,0.0,28.75519868051973,28.75519868051973
aco,static_frozen,3,3.0,10,33.41526457852969,0.0,33.41526457852969,33.41526457852969,240.0,0.0,240.0,240.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,33.41526457852969,0.0,33.41526457852969,33.41526457852969
aco,static_frozen,4,4.0,10,36.43978128070112,0.0,36.43978128070112,36.43978128070112,300.0,0.0,300.0,300.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,36.43978128070112,0.0,36.43978128070112,36.43978128070112
aco,static_frozen,5,5.0,10,39.30771540054432,0.0,39.30771540054432,39.30771540054432,360.0,0.0,360.0,360.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,39.30771540054432,0.0,39.30771540054432,39.30771540054432
aco,static_frozen,6,6.0,10,42.82760875349523,0.0,42.82760875349523,42.82760875349523,420.0,0.0,420.0,420.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,42.82760875349523,0.0,42.82760875349523,42.82760875349523
aco,static_frozen,7,7.0,10,46.91926083485265,0.0,46.91926083485265,46.91926083485265,480.0,0.0,480.0,480.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,46.91926083485265,0.0,46.91926083485265,46.91926083485265
aco,static_frozen,8,8.0,10,48.86578930116977,0.0,48.86578930116977,48.86578930116977,540.0,0.0,540.0,540.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,48.86578930116977,0.0,48.86578930116977,48.86578930116977
aco,static_frozen,9,9.0,10,52.71229306871688,0.0,52.71229306871688,52.71229306871688,600.0,0.0,600.0,600.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,52.71229306871688,0.0,52.71229306871688,52.71229306871688
aco,static_frozen,10,10.0,10,54.95292495241339,0.0,54.95292495241339,54.95292495241339,660.0,0.0,660.0,660.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,54.95292495241339,0.0,54.95292495241339,54.95292495241339
aco,static_frozen,11,11.0,10,56.74795344012017,0.03694503623785959,56.70959216876123,56.81740084646847,720.0,0.0,720.0,720.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,56.74795344012017,0.03694503623785959,56.70959216876123,56.81740084646847
aco,static_frozen,12,12.0,10,59.086041000150225,0.1643231037189937,58.792998136994605,59.30109239661224,780.0,0.0,780.0,780.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,59.086041000150225,0.1643231037189937,58.792998136994605,59.30109239661224
aco,static_frozen,13,13.0,10,61.05387491293247,0.24753713825388038,60.549349122436,61.29009052226479,840.0,0.0,840.0,840.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,61.05387491293247,0.24753713825388038,60.549349122436,61.29009052226479
aco,static_frozen,14,14.0,10,62.69344011919503,0.30033132713850585,62.16605069573129,63.016147276231365,900.0,0.0,900.0,900.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,62.69344011919503,0.30033132713850585,62.16605069573129,63.016147276231365
aco,static_frozen,15,15.0,10,64.19399347360839,0.832680817433049,63.06162173720701,65.37731923455158,960.0,0.0,960.0,960.0,31.84011709992774,0.0,31.84011709992774,31.84011709992774,64.19399347360839,0.832680817433049,63.06162173720701,65.37731923455158
