epoch,elapsed_s,elapsed_min,traffic_state,traffic_change,center_bins,peak_tt_multiplier,speed_multiplier,recovery_progress,disruption_region_edges,disruption_region_length_km,disruption_region_speed_kmh,affected_edges,affected_length_km,network_speed_kmh_at_start_hour,speed_change_from_previous_pct
96,5760.0,96.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
97,5820.0,97.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
98,5880.0,98.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
99,5940.0,99.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
100,6000.0,100.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
101,6060.0,101.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
102,6120.0,102.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
103,6180.0,103.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
104,6240.0,104.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
105,6300.0,105.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
106,6360.0,106.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
107,6420.0,107.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
108,6480.0,108.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
109,6540.0,109.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
110,6600.0,110.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
111,6660.0,111.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
112,6720.0,112.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
113,6780.0,113.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
114,6840.0,114.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
115,6900.0,115.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
116,6960.0,116.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
117,7020.0,117.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
118,7080.0,118.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
119,7140.0,119.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,30.46437083119037,0,0.0,37.52283759547087,0.0
120,7200.0,120.0,normal,normal,0 12 32 51,1.0,1.0,1.0,2797,105.20811,28.90953986757818,0,0.0,36.05515527688146,-3.91143744087884
