start_hour,run_id,method,n_bins,vehicles,seed,energy_kwh,battery_remaining_mean_kwh,battery_remaining_min_kwh,battery_remaining_total_kwh,oracle_prep_s,runtime_s,makespan_s,served_bins,served_demand_kg,active_vehicles,exact_coverage,capacity_feasible,battery_feasible,return_feasible,feasible,exact_global_factor_graph,rounds,converged
12,aco_n84_k10_h12_s7,aco,84,10,7,172.6131583882625,162.73868416117375,137.7300452130208,1627.3868416117375,11.68351410003379,33.477689300023485,4126.429419559268,84,13168.0,10,True,True,True,True,True,,,
12,ga_n84_k10_h12_s7,ga,84,10,7,187.6981374297124,161.23018625702875,138.22135753022428,1612.3018625702875,11.68351410003379,27.30370429996401,2991.7804778880345,84,13168.0,10,True,True,True,True,True,,,
12,nn_n84_k10_h12_s7,nn,84,10,7,211.10589415205257,158.88941058479477,144.0768207478736,1588.8941058479477,11.68351410003379,0.3454132999759167,3267.51822060145,84,13168.0,10,True,True,True,True,True,,,
12,proposed_n84_k10_h12_s7,proposed,84,10,7,168.0654725273639,163.19345274726362,148.88962371613522,1631.934527472636,11.346923099947162,1287.5233983000508,2906.0258791248525,84,13168.0,10,True,True,True,True,True,False,64.0,False
12,pso_n84_k10_h12_s7,pso,84,10,7,201.22637342008653,159.87736265799134,142.12554891992858,1598.7736265799135,11.68351410003379,17.372223200043663,3425.177228874799,84,13168.0,10,True,True,True,True,True,,,
13,aco_n84_k10_h13_s7,aco,84,10,7,158.73096844111768,164.1269031558882,148.77780339768967,1641.2690315588825,12.263576600002123,34.314054600021336,3448.552163767992,84,13168.0,10,True,True,True,True,True,,,
13,ga_n84_k10_h13_s7,ga,84,10,7,174.08295977574602,162.5917040224254,153.37050025396974,1625.917040224254,12.263576600002123,24.931061599985696,2977.5471179514225,84,13168.0,10,True,True,True,True,True,,,
13,nn_n84_k10_h13_s7,nn,84,10,7,190.8849848865424,160.91150151134576,150.28290921378925,1609.1150151134575,12.263576600002123,0.3402618000400252,3136.659441000267,84,13168.0,10,True,True,True,True,True,,,
13,proposed_n84_k10_h13_s7,proposed,84,10,7,152.65658821729576,164.73434117827043,146.30954394476436,1647.3434117827042,13.203688599984162,968.9183867999818,2917.531110796025,84,13168.0,10,True,True,True,True,True,False,64.0,False
13,pso_n84_k10_h13_s7,pso,84,10,7,183.8528546094929,161.61471453905068,152.12345983569946,1616.147145390507,12.263576600002123,19.27968839998357,3124.2770579067314,84,13168.0,10,True,True,True,True,True,,,
14,aco_n84_k10_h14_s7,aco,84,10,7,145.87480169004527,165.41251983099545,151.9260590272958,1654.1251983099546,11.242489900032524,33.81300179997925,2916.9712455058234,84,13168.0,10,True,True,True,True,True,,,
14,ga_n84_k10_h14_s7,ga,84,10,7,155.27891081026704,164.4721089189733,153.8342456623672,1644.721089189733,11.242489900032524,28.8403091999935,3519.9185965315346,84,13168.0,10,True,True,True,True,True,,,
14,nn_n84_k10_h14_s7,nn,84,10,7,178.75155941927773,162.12484405807223,150.64681701808877,1621.2484405807222,11.242489900032524,0.3313077999628149,2648.977683101421,84,13168.0,10,True,True,True,True,True,,,
14,proposed_n84_k10_h14_s7,proposed,84,10,7,136.4463445623509,166.3553655437649,150.13178108761875,1663.553655437649,10.88334100006614,997.2644114999566,2721.613714871085,84,13168.0,10,True,True,True,True,True,False,64.0,False
14,pso_n84_k10_h14_s7,pso,84,10,7,169.6268949067253,163.03731050932748,151.23013643904517,1630.3731050932747,11.242489900032524,16.620152900053654,2600.366605124086,84,13168.0,10,True,True,True,True,True,,,
15,aco_n84_k10_h15_s7,aco,84,10,7,130.04551618242658,166.99544838175734,155.50765463986212,1669.9544838175734,11.318855200021062,33.79414200002793,2697.3857640826704,84,13168.0,10,True,True,True,True,True,,,
15,ga_n84_k10_h15_s7,ga,84,10,7,146.8831860837677,165.31168139162324,156.54090798241026,1653.1168139162323,11.318855200021062,26.7188442000188,3023.431907618373,84,13168.0,10,True,True,True,True,True,,,
15,nn_n84_k10_h15_s7,nn,84,10,7,164.721928586478,163.5278071413522,152.2731035217558,1635.2780714135222,11.318855200021062,0.3171907999785617,3099.6741389947124,84,13168.0,10,True,True,True,True,True,,,
15,proposed_n84_k10_h15_s7,proposed,84,10,7,124.26745002774076,167.57325499722592,156.4837872508511,1675.7325499722592,11.041106599965133,998.1753734999802,2709.850626131344,84,13168.0,10,True,True,True,True,True,False,64.0,False
15,pso_n84_k10_h15_s7,pso,84,10,7,158.51238907206744,164.14876109279325,155.9942597626976,1641.4876109279326,11.318855200021062,18.676386200007983,3176.7664035937864,84,13168.0,10,True,True,True,True,True,,,
16,aco_n84_k10_h16_s7,aco,84,10,7,154.27245517213285,164.5727544827867,152.3214280084296,1645.7275448278672,11.458562600018922,33.103092600009404,3310.758119815869,84,13168.0,10,True,True,True,True,True,,,
16,ga_n84_k10_h16_s7,ga,84,10,7,166.54275589869258,163.34572441013074,153.27436438382014,1633.4572441013074,11.458562600018922,23.36917000001995,2892.5349145081263,84,13168.0,10,True,True,True,True,True,,,
16,nn_n84_k10_h16_s7,nn,84,10,7,181.0790547304452,161.89209452695547,149.69836929915405,1618.9209452695547,11.458562600018922,0.3493238000082783,3155.0236506776214,84,13168.0,10,True,True,True,True,True,,,
16,proposed_n84_k10_h16_s7,proposed,84,10,7,152.64922096363563,164.73507790363644,152.53918850052395,1647.3507790363644,12.782110600033777,1258.6661773000378,3242.1402649369943,84,13168.0,10,True,True,True,True,True,False,64.0,False
16,pso_n84_k10_h16_s7,pso,84,10,7,176.74484834006114,162.32551516599386,153.06217625456355,1623.2551516599387,11.458562600018922,14.8292427000124,3218.990730920962,84,13168.0,10,True,True,True,True,True,,,
17,aco_n84_k10_h17_s7,aco,84,10,7,140.33660551635555,165.96633944836444,155.0396986682515,1659.6633944836444,11.593711699999403,33.5482653999934,2833.86435558644,84,13168.0,10,True,True,True,True,True,,,
17,ga_n84_k10_h17_s7,ga,84,10,7,153.37899912548343,164.66210008745165,156.762761216125,1646.6210008745163,11.593711699999403,26.9294002999668,2786.211766735251,84,13168.0,10,True,True,True,True,True,,,
17,nn_n84_k10_h17_s7,nn,84,10,7,169.7087933409537,163.02912066590463,152.3682349540771,1630.2912066590463,11.593711699999403,0.3075197999714874,3123.541632227352,84,13168.0,10,True,True,True,True,True,,,
17,proposed_n84_k10_h17_s7,proposed,84,10,7,137.06498528161893,166.2935014718381,151.65884346153464,1662.9350147183811,11.085872000083327,1118.949062300031,2694.594598352648,84,13168.0,10,True,True,True,True,True,False,59.0,True
17,pso_n84_k10_h17_s7,pso,84,10,7,160.6282624666482,163.93717375333517,155.26662707022808,1639.3717375333515,11.593711699999403,17.13739910000004,2611.724225313331,84,13168.0,10,True,True,True,True,True,,,
18,aco_n84_k10_h18_s7,aco,84,10,7,129.8559064326359,167.0144093567364,152.54657273259713,1670.144093567364,11.929769499984104,33.29704440000933,2948.943404112808,84,13168.0,10,True,True,True,True,True,,,
18,ga_n84_k10_h18_s7,ga,84,10,7,137.0169930510861,166.2983006948914,157.78442107402566,1662.983006948914,11.929769499984104,27.270890399988275,2575.791665618115,84,13168.0,10,True,True,True,True,True,,,
18,nn_n84_k10_h18_s7,nn,84,10,7,162.5877766769375,163.74122233230625,153.4387103129418,1637.4122233230626,11.929769499984104,0.3313707999768667,2763.070121171136,84,13168.0,10,True,True,True,True,True,,,
18,proposed_n84_k10_h18_s7,proposed,84,10,7,124.9856170219306,167.50143829780694,148.8873630604579,1675.0143829780695,14.525389099959284,1525.113749400014,2771.5048752969888,84,13168.0,10,True,True,True,True,True,False,58.0,True
18,pso_n84_k10_h18_s7,pso,84,10,7,151.3725203568789,164.8627479643121,156.04400867242313,1648.627479643121,11.929769499984104,19.21482449996984,2569.7103763613227,84,13168.0,10,True,True,True,True,True,,,
19,aco_n84_k10_h19_s7,aco,84,10,7,108.90857313955718,169.1091426860443,158.64348247746824,1691.0914268604429,11.937758399988525,33.37696379999397,2748.705198424921,84,13168.0,10,True,True,True,True,True,,,
19,ga_n84_k10_h19_s7,ga,84,10,7,120.96922882956224,167.90307711704378,157.06132298059882,1679.0307711704377,11.937758399988525,26.043279200035613,2749.5126904185217,84,13168.0,10,True,True,True,True,True,,,
19,nn_n84_k10_h19_s7,nn,84,10,7,132.28440400489956,166.77155959951006,155.85062715396356,1667.7155959951006,11.937758399988525,0.3239667000016197,2679.6773023944447,84,13168.0,10,True,True,True,True,True,,,
19,proposed_n84_k10_h19_s7,proposed,84,10,7,105.48497175604184,169.45150282439582,157.24814228313363,1694.515028243958,14.696739899925888,1151.3542246000145,2716.249098084253,84,13168.0,10,True,True,True,True,True,False,57.0,True
19,pso_n84_k10_h19_s7,pso,84,10,7,128.44271433570552,167.15572856642945,156.5971729173323,1671.5572856642946,11.937758399988525,14.097276599961331,2866.1234351596886,84,13168.0,10,True,True,True,True,True,,,
20,aco_n84_k10_h20_s7,aco,84,10,7,120.75231432956502,167.9247685670435,154.97551383054775,1679.247685670435,11.659191599988844,31.529053800040856,3516.6581778300533,84,13168.0,10,True,True,True,True,True,,,
20,ga_n84_k10_h20_s7,ga,84,10,7,128.02029471086712,167.1979705289133,154.6825004117531,1671.9797052891329,11.659191599988844,30.845740500022657,2826.329492349368,84,13168.0,10,True,True,True,True,True,,,
20,nn_n84_k10_h20_s7,nn,84,10,7,146.0703189138637,165.39296810861362,154.97186664280497,1653.9296810861365,11.659191599988844,0.3598139999667182,2774.6858287791742,84,13168.0,10,True,True,True,True,True,,,
